name,engName,activeIngredient,treatmentForm,treatmentCodeName,brand,in_stock,price,newItem,CBD,THC
"אולטרה סאוור","ULTRA SOR T20C4 SATIVA",T20C4,תפרחת,"תפרחת SATIVA T20 C4",קנדוק,1,309,,0,24
קאפרי,"SEACH B CAPRI T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,279,,0,24
הולנדי,"SEACH B T20C4 DE DUTCH I",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,249,,0,24
"סילבר סטאר","SEACH B T20C4 SILVER STAR",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,169,,0,24
"גולדן בוי","SEACH B T20C4S GOLDEN BOY",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,159,,0,24
מגמה,"SEACH B T20C4 MAGMA IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,199,,0,24
אלסקה,"TO T20C4 ALASKA SAT FL",T20C4,תפרחת,"תפרחת SATIVA T20 C4","תיקון עולם",1,269,,0,24
"סיני מיניז","TO SINAI MINIS T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","תיקון עולם",1,149,,0,24
ברו,"BRO T20C4 INDICA",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,329,,0,23.9
סיאף,"CF T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","דוד וגוליית",1,179,,0,23.9
"פי או גי","POG T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,329,,0,23.9
אףיו,"SEACH B FU T20C4S",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,319,,0,23.9
"פסיפיק רים","SEACH B PACIFIC RIM T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",שיח,1,169,,0,23.9
"חמסה 81","SEACH HAMSA 18 T20C4I",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,349,,0,23.7
פפארה,"GM PAPARA T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",גרינמד,1,239,,0,23.6
רומא,"IMC ROMA T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,269,,0,23.5
"דה וואפה","JAR THE WAPPA T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","צנצנות קנדה",1,100,,0,23.5
"גרנד קניון","SEACH B T20C4GRAND CANYON",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,169,,0,23.5
"סטיבי וויו","GM STEVIE VIEW T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",גרינמד,1,169,,0,23.4
"אייס אוף ספיידס","ACE OF SPADES",T20C4,תפרחת,"תפרחת INDICA T20 C4",פלאנטיס,1,169,,0,23.4
"פור אר טי","CSURE 4RT T20C4 HYB",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנאשור,1,299,,0,23.4
תכלת,"SEACH B T20C4S TCHELET",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,249,,0,23.4
"פרפל פונץ","PURPLE PUNCH T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,199,,0,23
אטומיק,"ATOMIC T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4","פיס נטורלס",1,169,,0,23
ארז,"TO T20C4 EREZ IND FL",T20C4,תפרחת,"תפרחת INDICA T20 C4","תיקון עולם",1,239,,0,23
יוסמטי,"SEACH B T20C4S YOSEMITE",T20C4,תפרחת,"תפרחת SATIVA T20 C4",שיח,1,169,,0,22.3
רפאל,"RAPHAEL T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,279,,0,22
"אל בי סי","LBC T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4","פיס נטורלס",1,219,,0,22
"תפרחת בלאק","NITZAN B T20C4 IND BLACK",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,199,,0,22
"מיאמי סקיי","MIAMY SKY T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4","פיס נטורלס",1,219,,0,21
"קוב או גי","PURPLE KOBE OG T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,199,,0,21
"רפאל גמס","RAFAEL GEMS T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,149,,0,20
"פיקו פרפל ריין 6","PURPLE RAIN 06 T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,279,,0,0
"קליפורניה לאב","CALIFORNIA LOVE T20I",T20C4,תפרחת,"תפרחת INDICA T20 C4",IMC,1,379,,0,0
"פיקו יא חאמי 70","PICO YA HEMI 07 T20S",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,279,,0,0
"בלאק מלק","BLK MLK T20H",T20C4,תפרחת,"תפרחת BLEND T20 C4",IMC,1,399,,0,0
SOLO47,"SOLO 47 T20C4 10G INF I",T20C4,תפרחת,"תפרחת INDICA T20 C4",SOLO,1,379,,0,0
"SOLO 31","SOLO 31 T20C4 SAT 10G",T20C4,תפרחת,"תפרחת SATIVA T20 C4",SOLO,1,379,,0,0
"SOLO 5","SOLO 5 T22C4 IND 10G",T20C4,תפרחת,"תפרחת INDICA T20 C4",SOLO,1,379,,0,0
"SOLO 61","SOLO 61 T20C4 IND 10G",T20C4,תפרחת,"תפרחת INDICA T20 C4",SOLO,1,379,,0,0
אייץסי,"HC T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","TRICHOME INDO",1,349,,0,0
גיסי,"GC T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","TRICHOME INDO",1,349,,0,0
"גס ליק","GS LEAK T20C4 BLEND",T20C4,תפרחת,"תפרחת BLEND T20 C4","TRICHOME INDO",1,349,,0,0
גי,"GM G T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4",גרינמד,1,349,,0,0
סולטנה,"SULTANA T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,120,,0,0
"אל אמיר","EL-AMIR T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,120,,0,0
זומורוד,"ZUMURRUD T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,120,,0,0
יאקוט,"YAKUT T20C4 SAT",T20C4,תפרחת,"תפרחת SATIVA T20 C4","דוד וגוליית",1,120,,0,0
"קיי קווין","KQUEEN T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,199,,0,0
"בי טקסס","BTEXAS T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","דוד וגוליית",1,199,,0,0
ספוטניק,"TOGETHER SPUTNIK T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,199,,0,0
אפולו,"TOGETHER APOLLO T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",טוגדר,1,199,,0,0
"איי סי אס","INFL T20C4 ICS INDICA",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,349,,0,0
"אסאףוי ריין","SFV T20C4 RAIN IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",טוגדר,1,349,,0,0
"לקוטה מיניז","TOTEM LAKOTA MINIZ T20C4",T20C4,תפרחת,"תפרחת SATIVA T20 C4",טוטם,1,269,,0,0
"תה נו","THE NU T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,349,,0,0
"פרפל אוקטיין","PURPLE OK10 T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,349,,0,0
"גי גי 4","GG4 T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4","פיס נטורלס",1,229,,0,0
"קואצ פיטיטיאו","CANYA T20C4 COUCH PTTO",T20C4,תפרחת,"תפרחת INDICA T20 C4",קאניה,1,199,,0,0
אנב,"COMP ANB T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",קומפאונד,1,329,,0,0
אףאףמיני,"FF MINI T20C4 IND",T20C4,תפרחת,"תפרחת INDICA T20 C4",קנאבר,1,240,,0,0
"אובי וואן","OBI WAN T20C4",T20C4,תפרחת,"תפרחת BLEND T20 C4",קנדוק,1,309,,0,0
ברבדוס,"SEACH B BARBADOS T20C4I",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,299,,0,0
"אס בלוק","SEACH B T20C4I SBLOCK",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,349,,0,0
"גאנגל אף","SEACH B T20C4 HYJUNGLE F",T20C4,תפרחת,"תפרחת BLEND T20 C4",שיח,1,379,,0,0
מצדה,"SEACH B MASADA T20C4",T20C4,תפרחת,"תפרחת INDICA T20 C4",שיח,1,199,,0,0
"אמרלד גליליות","BCANN PRE ROLLS T20C4 SA",T20C4,גליליות,"תפרחת SATIVA T20 C4",בזלת,1,258,,0,23.6
אופל,"BCANN PRE ROLLS T20C4 IN",T20C4,גליליות,"תפרחת INDICA T20 C4",בזלת,1,258,,0,23.6
"שמן הולנדי","SEACH OIL T20C4I DE DUTCH",T20C4,שמן,"מיצוי INDICA T20 C4",שיח,1,227,,0,24
"שמן בלאק","SEACH OIL T20C4 BLACK I",T20C4,שמן,"מיצוי INDICA T20 C4",שיח,1,227,,0,22
"שמן רומא","IMC OIL ROMA T20C4 IND",T20C4,שמן,"מיצוי INDICA T20 C4",IMC,1,269,,0,0
"ספיישל טי","BCANN MCT SP T IND OIL",T20C4,שמן,"מיצוי INDICA T20 C4",בזלת,1,350,,0,0
ביקאן,"BCANN OIL T20C4",T20C4,שמן,"מיצוי BLEND T20 C4",בזלת,1,258,,0,0
"שמן בקאן    4C02T","BCANN MCT T20C4 SAT OIL",T20C4,שמן,"מיצוי SATIVA T20 C4",בזלת,1,258,,0,0
"שמן פי קיי","BETTER OIL PK SUPRT T20C4",T20C4,שמן,"מיצוי BLEND T20 C4",בטר,1,229,,0,0
"שמן אינדיקה   TCM 02T","BCANN MCT T20C4 IND OIL",T20C4,שמן,"מיצוי INDICA T20 C4",ביקאן,1,258,,0,0
"ספיישל די 742","BCANN MCT SP T 247 S OIL",T20C4,שמן,"מיצוי SATIVA T20 C4",ביקאן,1,350,,0,0
"פירות יער לימון","MEDCANOIL T20C4 BER LE",T20C4,שמן,"מיצוי BLEND T20 C4","פיס נטורלס",1,264,,0,0
"גורילה גלו","OIL G GLUE T20C4 IND",T20C4,שמן,"מיצוי INDICA T20 C4",קנדוק,1,289,,0,0
אקסיבן,"AXIBAN SL DROP T20C4 10G",T20C4,שמן,"מיצוי BLEND T20 C4",רפא,1,299,,0,0
"שמן תכלת 402","SEACH OIL T20C4 TCHELES",T20C4,שמן,"מיצוי SATIVA T20 C4",שיח,1,227,,0,0
"פרפל ריין","PURPLE RAIN T15I",T15C3,תפרחת,"תפרחת INDICA T15 C3",IMC,1,299,,0,19.4
אלסקה,"TO T15C3 ALASKA SAT FL",T15C3,תפרחת,"תפרחת SATIVA T15 C3","תיקון עולם",1,249,,0,19
קורל,"BCANN FLCRL T15C3 IND",T15C3,תפרחת,"תפרחת INDICA T15 C3",בזלת,1,179,,0,18.7
רומא,"IMC ROMA T15I",T15C3,תפרחת,"תפרחת INDICA T15 C3",IMC,1,199,,0,18
גרניט,"BCANN FLGRN T15C3 SAT",T15C3,תפרחת,"תפרחת SATIVA T15 C3",בזלת,1,179,,0,17.1
"גי אס קוש","GS KUSH T15C3",T15C3,תפרחת,"תפרחת INDICA T15 C3","פיס נטורלס",1,229,,0,15
אדגיו,"SEVEN ADAGIO T15C3 HYB",T15C3,תפרחת,"תפרחת BLEND T15 C3",SEVEN,1,237,,0,0
"בלו די","BLUE D T15C3",T15C3,תפרחת,"תפרחת SATIVA T15 C3","פיס נטורלס",1,224,,0,0
"סידני הרבור","SEACH B SYDNEY HARBT15C3",T15C3,תפרחת,"תפרחת INDICA T15 C3",שיח,1,227,,0,0
ביקאן,"BCANN OIL T15C3",T15C3,שמן,"מיצוי BLEND T15 C3",בזלת,1,236,,0,0
ביקאן,"BCANN OIL SAT T15C3",T15C3,שמן,"מיצוי SATIVA T15 C3",בזלת,1,236,,0,0
"ביקאן אם סי טי","BCANN MCT T15C3 IND OIL",T15C3,שמן,"מיצוי INDICA T15 C3",ביקאן,1,236,,0,0
אקסיבן,"AXIBAN DROPS T15C3 10GR",T15C3,שמן,"מיצוי BLEND T15 C3",רפא,1,239,,0,0
"שמן תכלת רליף","SEACH TCHERELOIL T15C3S",T15C3,שמן,"מיצוי SATIVA T15 C3",שיח,1,227,,0,0
שוהם,"BCANN FLSHM T10C2 IND",T10C2,תפרחת,"תפרחת INDICA T10 C2",בזלת,1,189,,0,14.1
צור,"BCANN FLZUR T10C2 SAT",T10C2,תפרחת,"תפרחת SATIVA T10 C2",בזלת,1,209,,0,13.6
"צור גליליות","BCANN ROLL ZUR T10C2 SAT",T10C2,גליליות,"תפרחת SATIVA T10 C2",בזלת,1,209,,0,13.8
"שוהם גליליות","BCANN ROLL SHM T10C2 IND",T10C2,גליליות,"תפרחת INDICA T10 C2",בזלת,1,209,,0,12.3
ביקאן,"BCANN OIL T10C2",T10C2,שמן,"מיצוי BLEND T10 C2",בזלת,1,222,,0,0
"שמן אינדיקה  TCM 01T","BCANN MCT T10C2 IND OIL",T10C2,שמן,"מיצוי INDICA T10 C2",ביקאן,1,222,,0,0
"שמן סאטיבה   TCM 01T","BCANN MCT T10C2 SAT OIL",T10C2,שמן,"מיצוי SATIVA T10 C2",ביקאן,1,222,,0,0
אקסיבן,"AXIBAN DROPS T10C2 10GR",T10C2,שמן,"מיצוי BLEND T10 C2",רפא,1,204.8,,0,0
"תפרחת נובה בשקיות","NOVA T10C10",T10C10,תפרחת,"תפרחת BLEND T10 C10",גרינקום,1,259,,5.8,14.4
"טוטל פי","TOTAL P T10C10 HYB",T10C10,תפרחת,"תפרחת BLEND T10 C10",גרינקום,1,249,,6.1,13.9
נועם,"NOAM T10C10 BALANCED",T10C10,תפרחת,"תפרחת BLEND T10 C10","דוד וגוליית",1,269,,10.1,10.9
"זן מאסטר","CANYA T10C10 ZEN MASTER",T10C10,תפרחת,"תפרחת BLEND T10 C10",קאניה,1,169,,12,10
"און פויינט","CANYA T10C10 ON POINT SAT",T10C10,תפרחת,"תפרחת SATIVA T10 C10",קאניה,1,169,,12,10
דיסקברי,"INFL T10C10 DISCOVERY HYB",T10C10,תפרחת,"תפרחת BLEND T10 C10",טוגדר,1,249,,13.1,9.5
"באלאנס 01C01T","TO T10C10 BALANCE BLEND",T10C10,תפרחת,"תפרחת BLEND T10 C10","תיקון עולם",1,199,,14,9
ליברה,"TO LIBRA JAR T10C10 FL",T10C10,תפרחת,"תפרחת BLEND T10 C10","תיקון עולם",1,269,,10,9
גל,"MBA WAVE T10C10 IND",T10C10,תפרחת,"תפרחת INDICA T10 C10",אםביאיי,1,255,,10.7,8.1
ארגמן,"NITZAN B T10C10 ARGAMAN",T10C10,תפרחת,"תפרחת BLEND T10 C10",שיח,1,249,,9.8,8
דואט,"SEVEN DUET T10C10 SAT",T10C10,תפרחת,"תפרחת SATIVA T10 C10",SEVEN,1,277,,8,7
"מידנייט  GN","TO T10C10 MIDNIGHT NG FL",T10C10,תפרחת,"תפרחת BLEND T10 C10","תיקון עולם",1,229,,11,7
"מיני טוטל פי","MINI TOTAL P T10C10 HYB",T10C10,תפרחת,"תפרחת BLEND T10 C10",גרינקום,1,219,,0,0
"מיני נובה","NOVA MINI T10C10 IND",T10C10,תפרחת,"תפרחת BLEND T10 C10",גרינקום,1,219,,0,0
רוקי,"SEACH B ROCKY T10C10 HYB",T10C10,תפרחת,"תפרחת BLEND T10 C10",שיח,1,227,,0,0
"שמן פמיקאן TCM 01C01T","FEMMICAN MCT T10C10 S OIL",T10C10,שמן,"מיצוי SATIVA T10 C10",בזלת,1,262,,0,0
"שמן פמיקאןTCM 01C01T I","FEMMICAN MCT T10C10I OIL",T10C10,שמן,"מיצוי INDICA T10 C10",בזלת,1,262,,0,0
"בקאן ספשבי 01C01T","BCANN MCT SP B 1414S OIL",T10C10,שמן,"מיצוי SATIVA T10 C10",בזלת,1,350,,0,0
ביקאן,"BCANN OIL T10C10",T10C10,שמן,"מיצוי BLEND T10 C10",בזלת,1,262,,0,0
"שמן בקאן ספיישל בי","BCANN MCT SP B 1414I OIL",T10C10,שמן,"מיצוי INDICA T10 C10",ביקאן,1,350,,0,0
"שמן בקאן 01C01T","BCANN MCT T10C10 INDOIL",T10C10,שמן,"מיצוי INDICA T10 C10",ביקאן,1,262,,0,0
"שמן בקאן 01C01T","BCANN MCT T10C10 SATOIL",T10C10,שמן,"מיצוי SATIVA T10 C10",ביקאן,1,262,,0,0
